Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile
1,68288,68351,68351,68351,68351,68351
2120766,8,9388031,43,75,178,3005
11695370,7,1496063,38,47,74,684
12365387,13,1583103,37,39,49,707
12438160,3,5332991,37,39,48,673
12683489,2,406527,37,39,47,586
12611683,5,138751,37,39,48,767
12453825,1,280063,37,40,51,962
12240641,7,1968127,37,43,52,872
12470560,3,6987775,37,40,50,1041
12553125,8,1567743,37,39,48,692
12664108,3,267263,37,39,48,631
12655635,1,252799,37,39,48,632
12568955,4,830463,37,39,48,641
12577618,4,300799,37,39,48,647
12708566,2,204159,37,39,47,577
12705986,5,119295,37,39,47,587
12608012,6,232831,37,39,48,668
11985958,9,1547263,39,40,50,764
12459364,9,96639,39,40,50,560
12424743,1,201983,39,40,50,600
12479411,9,76159,39,40,50,561
12310319,9,378367,39,40,50,641
11319213,2,2627583,39,45,54,5219
11031744,16,9486335,39,44,53,1039
12176043,9,327423,39,40,50,915
12476722,5,106751,39,40,50,583
12429965,9,87487,39,40,50,587
12109712,5,373503,39,45,54,650
12414784,6,126655,39,40,52,572
12423854,2,144255,39,40,50,592
12436049,6,455935,39,40,50,600
12379373,9,626175,39,40,50,637
12395031,1,375295,39,40,50,604
12425857,6,143615,39,40,50,675
12240360,10,1241087,39,42,51,618
12334874,10,208511,39,40,50,668
12439862,1,417279,39,40,50,628
12465244,4,265983,39,40,50,602
12459783,9,219647,39,40,50,587
12324142,2,968703,39,40,50,671
12421748,5,188799,39,40,50,601
12469524,5,166783,39,40,50,574
12412758,2,194431,39,40,50,590
12434449,6,194047,39,40,50,629
12448464,2,126463,39,40,50,643
12295493,11,222207,39,40,50,755
12332017,12,515839,39,40,50,675
12470162,1,284671,39,40,50,597
12409953,5,105919,39,40,50,644
12435485,5,162431,39,40,50,618
12405500,5,328703,39,40,50,597
12383677,9,421887,39,40,50,636
12391097,1,230783,39,40,50,648
12446244,3,298751,39,40,50,609
12457822,2,207743,39,40,50,594
12371591,1,288511,39,40,50,665
12357110,9,145279,39,40,50,675
12471610,5,254847,39,40,50,597
12340268,2,217599,39,40,50,705
12385513,12,812031,39,40,50,642
