Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile,,,
34706097,0,123775,0,0,302,302,,50,0
34714887,0,111103,0,0,302,302,,90,0
33875847,0,366591,0,0,302,302,,99,302
33418704,0,107199,0,0,302,302,,99.99,302
33891751,0,98431,0,0,302,302,,,
33316354,0,85439,0,0,302,302,,,
33683250,0,188415,0,0,302,302,,,
34250140,0,947711,0,0,302,302,,,
34927165,0,918527,0,0,302,302,,,
34042237,0,1202175,0,0,302,302,,,
34703080,0,1837055,0,0,302,302,,,
34665416,0,110527,0,0,302,302,,,
35230265,0,105663,0,0,302,302,,,
33299158,0,912895,0,0,302,302,,,
34059467,0,148863,0,0,302,302,,,
34547053,0,105087,0,0,302,302,,,
35037871,0,101183,0,0,302,302,,,
34755346,0,98431,0,0,302,302,,,
34877634,0,105407,0,0,302,302,,,
35543448,0,93887,0,0,302,302,,,
35399100,0,93887,0,0,302,302,,,
35584203,0,102079,0,0,302,302,,,
36142454,0,99327,0,0,302,302,,,
35439575,0,97215,0,0,302,302,,,
36062600,0,105983,0,0,302,302,,,
36034644,0,979967,0,0,302,302,,,
33957935,0,97855,0,0,302,302,,,
35545237,0,102655,0,0,302,302,,,
35828512,0,97535,0,0,302,302,,,
36238049,0,105983,0,0,302,302,,,
36121617,0,83327,0,0,302,302,,,
35432133,0,108735,0,0,302,302,,,
35966520,0,99967,0,0,302,302,,,
35054980,0,105663,0,0,302,302,,,
35343987,0,106879,0,0,302,302,,,
35956424,0,113855,0,0,302,302,,,
35182767,0,722943,0,0,302,302,,,
36213017,0,99071,0,0,302,302,,,
36194667,0,96959,0,0,302,302,,,
36166463,0,96639,0,0,302,302,,,
34123198,0,108735,0,0,302,302,,,
35555423,0,84223,0,0,302,302,,,
35864693,0,165247,0,0,302,302,,,
35800679,0,128319,0,0,302,302,,,
34908107,0,107199,0,0,302,302,,,
35300298,0,96319,0,0,302,302,,,
34731427,0,107519,0,0,302,302,,,
35583231,0,105663,0,0,302,302,,,
36194902,0,93631,0,0,302,302,,,
36108594,0,98751,0,0,302,302,,,
34983568,0,101183,0,0,302,302,,,
35321656,0,102335,0,0,302,302,,,
34818581,0,106303,0,0,302,302,,,
35182860,0,1045503,0,0,302,302,,,
35073229,0,79999,0,0,302,302,,,
35104345,0,157311,0,0,302,302,,,
34577390,0,102975,0,0,302,302,,,
34162304,0,99647,0,0,302,302,,,
35416107,0,103551,0,0,302,302,,,
