Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile,,,
3912684,0,28819455,0,302,1208,10263,,50,0
4657734,0,20987903,0,302,302,10271,,90,302
4790333,0,981503,0,302,302,10271,,99,322.4745763
4723374,0,835583,0,302,302,11175,,99.99,10334.45763
4643988,0,15769599,0,302,302,10871,,,
4582699,0,5062655,0,302,302,11471,,,
4680372,0,3393535,0,302,302,10567,,,
4646460,0,5009407,0,302,302,10271,,,
4636393,0,868863,0,302,302,10871,,,
4404966,0,10608639,0,302,302,10567,,,
4621952,0,5263359,0,302,302,9967,,,
4618263,0,14450687,0,302,302,10271,,,
4695826,0,13926399,0,302,302,10271,,,
4618375,0,8486911,0,302,302,10567,,,
4670602,0,17350655,0,302,302,10263,,,
4677671,0,20545535,0,302,302,10271,,,
4383035,0,24739839,0,302,302,10271,,,
4590324,0,7127039,0,302,302,9967,,,
4612619,0,6643711,0,302,302,10271,,,
4664041,0,6959103,0,302,302,10263,,,
4602906,0,3477503,0,302,302,10263,,,
4663656,0,10493951,0,302,302,10271,,,
4660264,0,15548415,0,302,302,10263,,,
4605712,0,13090815,0,302,302,10871,,,
4627036,0,26345471,0,302,302,10271,,,
4609092,0,1107967,0,302,302,10263,,,
4592953,0,3397631,0,302,302,9967,,,
4351956,0,4866047,0,302,302,10271,,,
4664405,0,6881279,0,302,302,10567,,,
4705359,0,19611647,0,302,302,9359,,,
4667946,0,18333695,0,302,302,10271,,,
4795047,0,851967,0,302,302,9967,,,
4803170,0,836607,0,302,302,9967,,,
4678727,0,869375,0,302,302,11175,,,
4719650,0,899583,0,302,302,10271,,,
4634165,0,12886015,0,302,302,10271,,,
4731778,0,1466367,0,302,302,10271,,,
4681663,0,22921215,0,302,302,9967,,,
4694393,0,848895,0,302,302,10263,,,
4793456,0,831999,0,302,302,9063,,,
4697117,0,22642687,0,302,302,9967,,,
4711747,0,875007,0,302,302,10271,,,
4574337,0,16310271,0,302,302,10567,,,
4688120,0,9805823,0,302,302,11471,,,
4605938,0,13385727,0,302,302,10271,,,
4671248,0,11395071,0,302,302,10567,,,
4672897,0,17448959,0,302,302,10567,,,
4791911,0,824831,0,302,302,10263,,,
4501048,0,16113663,0,302,302,11175,,,
4670669,0,811519,0,302,302,10271,,,
4626163,0,6057983,0,302,302,10567,,,
4574982,0,9134079,0,302,302,10871,,,
4528399,0,5521407,0,302,302,9967,,,
3838169,0,878591,0,302,604,10567,,,
4391902,0,37289983,0,302,302,10271,,,
4827527,0,7757823,0,302,302,9063,,,
4819364,0,4845567,0,302,302,9063,,,
4710564,0,24051711,0,302,302,9967,,,
4797871,0,887295,0,302,302,11175,,,
